ZAT,ses_cat,ses_cat_r,clus,injury,death,damage,total,walk_pubt,pop_density,pcta_Collector,pcta_Local,pcta_other,MEANIPM
132,6,6,1,2,0,0,2,699.282876,842865.6704380728,16.343432355337285,23.146869727669078,0,0.587
133,5,5,2,13,2,0,15,32032.208354542003,368991.43401001306,11.933684350327084,38.6595998077009,0,0.68
134,4,4,2,15,0,0,15,43938.52333590998,1032892.8233334161,10.04904783334827,43.481948519488064,2.0738979053728244,1.069
135,4,4,2,7,1,0,8,44959.127727359984,2782158.645250281,31.99542387078428,48.252787841546066,5.439999482895559,3.77
136,4,4,2,13,2,1,16,29829.965467669994,1242441.1436459431,35.63290505676224,36.97967692886095,5.827980794624661,9.995
137,4,4,2,8,1,0,9,22339.028195370007,1700152.2704978918,3.6373011431812206,30.71551840678452,0.09366880976452174,0.959
138,5,5,2,14,2,0,16,44370.648999174,1528266.1180785808,19.4749253407764,34.679506803137635,0.15414333246314008,1.781
139,5,5,2,8,0,0,8,40125.515067884015,1619904.806646161,1.3935308837486615,17.539949391945242,10.269224781538526,0.812
140,5,5,2,10,1,0,11,52065.28262107202,1998199.136549453,12.169866852448258,28.145843322525447,1.0545770310722238,3.623
141,5,5,2,7,0,0,7,20652.023941043994,1399360.307776584,26.85809658058231,38.57214511486967,0,1.083
142,5,5,2,5,0,0,5,16621.459705480003,2527941.485406,60.867102153166876,23.623410615930716,0.22045911433774046,0.748
143,5,5,2,4,1,0,5,74231.51124346201,801874.6106589979,12.954093065666408,27.468365393173656,3.2736615441049652,1.252
144,6,6,2,27,2,0,29,64091.19101720201,1627100.496768844,17.609983420003683,18.064119883101938,1.8901455051669416,1.439
145,6,6,2,10,2,0,12,41448.36368581001,1491569.075602068,23.45834388270168,18.787938001638782,1.241974053786799,1.081
146,5,5,2,21,2,0,23,48571.31361381999,1491890.3628176597,21.44124193339297,14.898257351821023,2.8091095784294073,1.639
147,6,6,2,33,4,0,37,113904.39387485599,1973839.1617356574,19.879479233119937,32.95521546269584,0.8088338068485279,0.841
148,6,6,2,12,2,0,14,31481.670722310002,1838179.2912516394,19.756476262532544,31.94779655109206,2.4151420634463716,1.706
149,5,5,2,6,0,0,6,16948.898537919995,1019876.0290160762,18.53504188435801,13.352476493815743,6.126591431867492,4.711
150,6,6,2,5,0,0,5,9834.30813922,2938111.7746553496,5.0300869251906715,17.795558610371458,16.80328562654366,0.865
151,5,5,2,19,0,0,19,39650.78979657,376586.78546564636,10.709279106326562,11.644447756268123,6.3275940432945825,6.239
152,5,5,2,25,2,0,27,47456.207743221996,1215757.1928305929,27.7603370794104,28.463184048436002,5.828123225954021,6.207
153,5,5,2,18,0,0,18,52419.156295930006,593933.8144458707,13.481453052546962,23.7262693933073,0.6326075744661676,8.157
154,4,4,2,5,0,0,5,9517.5640491,2157173.7897879938,1.6448529160050078,45.64300264848371,7.75904776387447,1.647
155,5,5,1,19,1,0,20,78373.26007662203,390189.72768694756,17.958746535100012,50.634840085185495,4.782155938508063,2.632
156,6,6,2,2,0,0,2,3396.9816606800005,481509.7263123342,32.51182658267327,53.952756664069135,6.1763425285669795,1.864
158,4,4,1,11,0,0,11,3764.5447059999997,40446.5590642815,0,5.313667788205309,20.134170366455738,1.461
163,5,5,2,20,2,0,22,55917.67248708998,1311942.9023445356,15.168035416535396,25.67067646114912,5.283488249124397,2.099
164,6,6,2,5,1,0,6,36646.921366560004,1431944.2844273802,21.018000952363465,27.96524312572508,2.3745913228487385,1.451
165,6,6,2,5,0,0,5,28844.79079655,1203166.205832536,33.05981274108855,10.611740230744918,8.209200749181075,6.151
166,6,6,2,6,0,0,6,13222.911206329998,1725579.0937441313,22.609960499478184,18.18572650157309,17.78215024055855,1.481
167,4,4,2,45,3,0,48,103415.74371400403,780767.773658802,21.578239222391666,17.213317980611077,0.045944356286037866,2.95
168,4,4,2,15,4,0,19,41908.993335718005,784081.640120988,16.005733686710073,18.468873108620144,2.8542238325814377,1.169
169,3,3,2,5,1,0,6,10950.428700189997,1248753.3398355036,8.90425853500357,17.017358773163554,3.3686960066506035,1.573
170,4,4,1,7,2,0,9,16263.775686452002,764217.9087975954,1.644793279468869,17.74343356944002,2.1229768234225026,0.458
171,3,3,2,15,2,0,17,16428.678089966,2212777.9532042807,22.422401371635644,40.60274933677392,0.7118129726652583,3.361
172,4,4,2,29,1,0,30,75927.04509487603,1239920.7893215776,23.71126152589159,35.649992648851914,4.652278100575198,2.107
173,3,3,2,14,2,0,16,21839.656740961997,1052248.9681595312,32.67362238421034,17.144116244117274,0.3156020643362873,3.074
174,3,3,2,2,0,0,2,27464.328675100005,3564832.5993099418,53.766445401052096,46.23355459894789,0,3.989
175,3,3,2,16,2,1,19,32074.365278510988,2533478.416702688,30.153631636656336,29.98038750565334,0,2.101
176,3,3,2,28,2,0,30,71586.84059144,1702295.0042920427,33.67284293057256,23.146049936907232,0.783437437918422,4.384
177,3,3,2,4,2,0,6,16466.313996279998,959734.4113587254,9.216516315876826,27.002541252315464,5.612925403895919,2.201
178,4,4,2,20,3,0,23,100853.70686602002,1331686.066179299,10.103448941010544,13.035531837141784,18.43077926654944,2.315
179,3,3,2,24,1,0,25,61058.26461101601,2122302.0242383364,24.91215571860258,35.7827653868408,0.42351489780100565,5.146
180,3,3,2,44,6,0,50,60332.332824999976,2115414.1855249736,15.32602752611982,27.48419767165997,2.0683266004394194,10.535
181,3,3,2,25,1,0,26,59291.47434796998,1305662.650649442,22.707712466884953,21.228961570222367,2.0279095108694594,1.692
182,3,3,2,26,3,0,29,22117.233898662,3326845.6198768187,31.872318351459278,52.27127379022933,0.3251843530805433,3.639
183,3,3,2,9,1,0,10,22105.724398160004,2593203.077600721,12.067050874030175,49.716091202672985,3.5659274441317197,2.623
184,3,3,2,26,4,1,31,23911.600708330006,2344045.6871286784,17.956599435319575,34.50641587689919,1.2259527374921608,5.428
185,3,3,2,38,2,0,40,64164.51151159999,3141659.768347619,29.994683524134107,25.62435704564005,1.1892269316087283,3.236
186,3,3,2,7,0,0,7,24145.25445328001,3775902.6328546423,44.714199181773886,37.463349239140456,2.03325744464599,3.634
187,3,3,2,66,0,0,66,93761.34555065999,2592361.892507032,23.49944430708801,36.801225119375836,8.330679572286442,2.052
