term,RR,lo,hi,p,n,outcome,model
pcta_other,0.9881552694871865,0.9787928287257024,0.9976072647431863,0.014160115923696382,768,injury,plus_pct60
(Intercept),9.496362142613695e-5,5.7480743975246235e-5,1.5688887739953835e-4,2.7226185157394897e-286,768,death,plus_pct60
clus1,0.5320250368631808,0.3515776378103144,0.8050871540412998,0.002829119772666463,768,death,plus_pct60
clus2,0.7470077174208094,0.6142209284920858,0.9085013290839665,0.0034901700261892148,768,death,plus_pct60
clus3,0.6719563559851374,0.5036084118390798,0.8965802272840163,0.006894867417805064,768,death,plus_pct60
pct60plus,0.9985090770142381,0.9798732988691841,1.0174992808054162,0.8766480408352387,768,death,plus_pct60
MEANIPM,1.0152866695610685,0.9911223316448406,1.040040152942277,0.2170537605462839,768,death,plus_pct60
pop_density,0.9999999832917225,0.9999998967136922,1.0000000698697602,0.7052493407346696,768,death,plus_pct60
pcta_Collector,0.9879754851674204,0.9813343060332851,0.9946616084760541,4.390602880038238e-4,768,death,plus_pct60
pcta_Local,0.9906980791573115,0.9843919028518572,0.9970446538645407,0.0041257011066499275,768,death,plus_pct60
pcta_other,0.9876356517247764,0.9737242321507181,1.0017458211996542,0.08562098534759278,768,death,plus_pct60
(Intercept),8.974310563450083e-4,6.232574847022529e-4,0.0012922147277176631,2.5292808704957e-311,768,total,plus_pct60
clus1,0.6065092526663098,0.47741032917693893,0.7705184640726762,4.226331364276715e-5,768,total,plus_pct60
clus2,0.8106063529890651,0.7159250417943025,0.9178092972686155,9.2192297487571e-4,768,total,plus_pct60
clus3,0.6528783942289481,0.5390790713580967,0.7907006973524714,1.2823134317419709e-5,768,total,plus_pct60
pct60plus,0.9923580409120345,0.9788157882908137,1.006087655249577,0.27384737217298755,768,total,plus_pct60
MEANIPM,1.0233542728750618,1.005216344557442,1.0418194784454204,0.011400164765582041,768,total,plus_pct60
pop_density,1.000000057221603,1.0000000028631948,1.0000001115800141,0.03909360699565007,768,total,plus_pct60
pcta_Collector,0.9939999266712761,0.9898934754573583,0.9981234129924962,0.004382124686787072,768,total,plus_pct60
pcta_Local,0.9925638587863598,0.9883707518973428,0.9967747546936667,5.491411199399477e-4,768,total,plus_pct60
pcta_other,0.9880866325705067,0.9786555473833709,0.9976086030216609,0.01431499254738352,768,total,plus_pct60
