"","ZAT","clus","sign_traffic","traffic_light","sign_crossing","pedestrian_light","sign_stop","sign_yield","sign_school_zone","sidewalk","crosswalk","lane_marking","lane_bike","lane_bus","roundabout","curb","bollards","median","median_barrier","speed_bump","trees","bus_stop","street_lights","kiosks","parked_vehicles","sidewalk_obstruction","lane_parking","brt_station","potholes"
"352",368,4,1136.07151080331,1808.8905608907,14.7064273243146,790.470468681912,106.621598101281,47.7958888040226,18.3830341553933,5522.26346028015,790.470468681912,1183.86739960733,66.1789229594159,257.362478175506,3.67660683107866,15427.0422632061,3297.91632747756,2853.04690091704,33.0894614797079,62.5023161283372,13654.9177706261,257.362478175506,12779.8853448294,529.431383675327,6908.3442355968,3551.60219882199,110.29820493236,172.800521060697,1095.62883566144
"353",369,4,1451.6159522188,1381.87639579548,80.0713425601117,537.252879113008,147.227952449238,74.9054494917174,72.3225029575203,4220.53463687815,418.437338539939,1108.08406317058,281.54117222749,191.138043530589,0,11398.543055412,3660.03523895736,1627.25631654421,2.58294653419715,95.5690217652946,8955.07563406153,211.801615804167,10065.7426437663,297.038851432673,4693.21385263623,3933.82757158226,23.2465188077744,136.896166312449,1547.18497398409
"354",370,4,1384.06417130447,812.309702554011,54.0377699123913,275.418311166381,128.993386242482,29.6336157584081,29.6336157584081,3531.62973685499,301.565619188506,1063.32385956641,122.020770769916,106.332385956641,3.48630773628331,7948.78163872594,4962.75906259929,639.737469607987,3.48630773628331,62.7535392530996,5607.7259938117,165.599617473457,6088.8364614188,784.419240663745,7275.92424562327,4546.14528811343,57.5240776486746,33.1199234946914,918.642088510652
"355",371,4,1237.66672130608,795.049571692302,52.2122106783004,259.874412239723,112.730909419058,34.4125934016071,21.359540732032,3683.33413512374,300.220211400227,1623.32509563443,88.9980863834666,227.835101141675,1.18664115177955,7416.50719862222,3743.8528338645,796.236212844081,112.730909419058,49.8389283747413,4703.84552565416,116.290832874396,8050.1735736725,263.434335695061,7698.92779274575,3856.58374328355,16.6129761249138,93.7446509905848,863.874758495516
"356",372,3,1725.11700570977,353.571278197273,143.759750475814,143.759750475814,73.8225745686613,38.8539866150849,116.561959845255,2109.77147319911,407.966859458391,1379.31652483551,3.88539866150849,0,0,6298.23123030526,951.92267206958,322.488088905205,0,745.99654300963,6519.69895401125,155.41594646034,3601.76455921837,42.7393852765934,1321.03554491289,1115.10941585294,128.21815582978,0,205.92612905995
"357",373,4,2137.28966821635,81.9408179507868,79.6646841188205,25.0374721516293,345.972342458877,20.4852044876967,248.098587684327,3609.94825749855,612.280000798934,1231.38840309377,0,0,0,11118.9137691554,874.035391475059,223.061115532697,0,1256.4258752454,6059.06826069429,134.291896086012,4907.34454171934,227.61338319663,3992.33874126889,3034.08639801108,25.0374721516293,0,418.808625081799
"358",374,4,3797.00124493227,345.342930392627,340.029962232741,194.808832529174,278.045333700731,24.793851412804,361.281834872287,4891.4726858689,871.326778221398,2592.72846202465,56.6716603721234,0,0,14545.1358323828,1599.20341612586,547.235720468317,8.85494693314428,1631.08122508518,11674.3620366574,308.152153273421,6743.92758428269,283.358301860617,4824.17508917701,5059.71667759864,46.0457240523503,0,926.227449206892
"359",375,4,1036.33904452468,287.213963768268,38.4925930823452,20.7267808904936,85.8680922606162,74.0242174660484,17.7658121918516,2670.79376617503,133.243591438887,1779.5421878838,251.682339384565,44.414530479629,0,8190.0394204436,2351.0091467217,1077.79260630566,17.7658121918516,79.9461548633323,8598.65310085618,183.5800593158,8992.46193777556,307.940744658761,2730.01314014787,1394.61625706035,2.96096869864194,65.1413113701226,287.213963768268
"360",376,4,2617.46275317278,216.404400852868,103.049714691842,82.4397717534735,422.503830236551,0,504.943601990025,5935.66356625009,1514.83080597007,1947.63960767581,0,0,0,16467.3444077563,1308.73137658639,72.1348002842893,0,1957.94457914499,1133.54686161026,144.269600568579,6471.52208264767,103.049714691842,8697.39591999145,3503.69029952262,0,0,515.248573459209
"361",377,4,2248.83303728171,16.6992552273394,183.691807500734,0,295.020175682996,55.6641840911314,322.852267728562,3774.03168137871,779.29857727584,1291.40907091425,0,0,11.1328368182263,12491.0429100499,601.173188184219,356.250778183241,0,1319.24116295981,4931.84671047424,94.6291129549234,4497.66607456342,144.726878636942,3484.57792410483,2488.18902887357,0,0,673.53662750269
"362",378,4,3876.43241212266,361.568583731621,260.746574806457,267.699816801296,451.960729664526,0,493.680181633559,5531.30400689431,1613.15214280261,1328.06922101422,3.47662099741943,0,0,16437.4640757991,1567.95606983616,52.1493149612914,0,1992.10383152133,3382.7522304891,191.214154858069,5896.34921162335,285.082921788393,7273.09112660144,4032.88035700654,3.47662099741943,0,549.30611759227
