ZAT,pop_total_2018,pop60plus_2018,n_manzanas,pct60plus
381,3687,580,27,15.730946569026308
382,21587,3452,92,15.99110575809515
383,484,19,1,3.925619834710744
384,1817,250,26,13.75894331315355
385,115,7,6,6.086956521739131
386,15469,2702,81,17.46719244941496
388,3087,394,7,12.76320051830256
389,21842,4079,156,18.675029759179562
390,14517,2349,67,16.181029138251706
391,21082,2399,40,11.379375770799735
392,618,55,14,8.89967637540453
393,507,28,8,5.522682445759369
394,23613,2088,83,8.842586710710203
395,1189,202,13,16.989066442388562
396,21790,1880,20,8.627810922441487
397,8257,1127,35,13.649025069637883
398,12267,974,12,7.940001630390478
399,9980,1498,54,15.01002004008016
400,9147,984,21,10.75762545096753
401,13629,1198,9,8.790079976520655
402,1854,184,5,9.924487594390508
403,5372,704,14,13.104988830975428
405,21387,1620,17,7.5746949081217565
406,2354,174,3,7.391673746813933
407,3633,270,25,7.431874483897605
408,11596,1800,23,15.52259399793032
409,1725,269,16,15.594202898550725
410,13409,1037,86,7.733611753300022
411,22022,2603,115,11.819998183634548
412,11270,1241,62,11.011535048802129
413,67800,4438,97,6.545722713864307
414,25604,1843,180,7.19809404780503
415,19228,1559,119,8.107967547326815
416,85,5,2,5.882352941176471
417,14929,2810,61,18.82242615044544
418,6161,1177,8,19.104041551696152
419,5161,1198,25,23.212555706258478
420,10832,2284,81,21.085672082717874
421,10119,1973,77,19.49797410811345
422,20258,2284,96,11.274558199229935
423,11904,2140,71,17.977150537634408
424,4636,1022,33,22.04486626402071
425,10933,1791,92,16.381596999908535
426,6110,1136,30,18.592471358428806
427,8789,1486,52,16.90749800887473
428,8419,1632,70,19.384725026725263
429,4617,814,27,17.630495993069093
430,5305,868,24,16.36192271442036
431,7882,1402,44,17.78736361329612
432,6984,1150,37,16.466208476517753
433,3304,527,45,15.950363196125908
434,4622,870,51,18.823020337516226
435,5557,1143,49,20.568652150440887
436,6625,1345,63,20.30188679245283
437,5038,784,24,15.56173084557364
438,3971,600,31,15.109544195416772
439,3847,449,27,11.671432284897323
440,1326,195,22,14.705882352941176
441,1194,153,18,12.814070351758794
442,1540,126,13,8.181818181818182
443,1247,198,20,15.878107457898958
444,2966,326,38,10.991233985165206
445,1471,164,11,11.14887831407206
446,10427,1379,62,13.225280521722452
447,10640,1901,70,17.866541353383457
448,1443,253,9,17.532917532917534
449,4180,658,30,15.741626794258373
