ZAT,pop_total_2018,pop60plus_2018,n_manzanas,pct60plus
986,1208,212,11,17.549668874172184
987,1478,243,2,16.441136671177265
988,759,91,1,11.989459815546772
989,10522,806,59,7.660140657669644
990,20989,1654,123,7.880318261946734
991,2053,447,23,21.773015099853872
992,1068,155,4,14.513108614232209
993,1777,266,14,14.969048958919528
995,14130,1131,21,8.004246284501061
996,17924,3465,26,19.33162240571301
997,17601,2753,32,15.641156752457247
998,6139,780,8,12.705652386382146
999,1742,258,13,14.810562571756602
1000,24,7,1,29.166666666666668
1001,18304,1529,69,8.353365384615385
1003,19133,926,18,4.839805571525637
1004,15,2,1,13.333333333333334
1006,39115,2504,91,6.401636200945929
1007,8,1,1,12.5
1008,68,17,1,25
1009,18,3,1,16.666666666666668
1013,39,3,1,7.6923076923076925
1017,1243,137,8,11.021721641190668
1020,18,0,1,0
1021,15,4,1,26.666666666666668
1022,57,13,2,22.80701754385965
1024,192,39,4,20.3125
1025,3730,859,31,23.029490616621985
1026,8855,1130,8,12.761151891586675
1027,40,1,2,2.5
1028,16457,2730,48,16.58868566567418
1032,8191,738,76,9.009888902453913
1034,12048,885,7,7.345617529880478
1035,26850,2458,18,9.154562383612664
1036,57,12,3,21.05263157894737
1038,19,5,1,26.31578947368421
1043,1286,68,6,5.287713841368585
1048,29951,5425,83,18.11291776568395
1049,28171,4200,19,14.908948919101203
1050,13057,807,190,6.180592785479053
1051,1968,132,35,6.7073170731707314
1052,270,39,5,14.444444444444445
1066,24,6,1,25
1067,125,2,1,1.6
1069,80,13,3,16.25
1070,2019,108,12,5.349182763744428
1075,320,16,5,5
1141,3544,221,38,6.235891647855531
